name,한글공항명,code,공항코드2(ICAO),공항운영상태구분
Hanscom Field,로렌스 G. 핸스콤 필드 공항,BED,KBED,기존공항
Bedourie Airport,베두리 공항,BEU,YBIE,기존공항
Beef Island Terrance B Lettsome Airport,비프 아일랜드 공항,EIS,TUPJ,기존공항
Beida Labraq Airport,라 브라크 공항,LAQ,HLLQ,기존공항
Matsu Beigan Airport,베이간 공항,MFK,RCMT,기존공항
Beihai Fucheng Airport,베이하이  공항,BHY,ZGBH,기존공항
Beijing Nanyuan Airport,난유안 공항,NAY,ZBNY,기존공항
Beijing Capital International Airport,베이징 캐피탈 공항,PEK,ZBAA,기존공항
Beijing Daxing International Airport,베이징 다싱 국제공항,PKX,ZBAD,기존공항
Beira Airport,베이라 공항,BEW,FQBR,기존공항
Beirut Rafic Hariri International Airport,베이루트 국제공항  ,BEY,OLBA,기존공항
Beja Airport,베자 에어베이스,BYJ,LPBJ,기존공항
Bejaia Airport,수우맘 공항,BJA,DAAE,기존공항
Belem Val de Cans Airport,발 데 칸즈 공항,BEL,SBBE,기존공항
Belfast International Airport,벨파스트 국제공항,BFS,EGAA,기존공항
Belfast City George Best Airport,벨파스트 시티 공항,BHD,EGAC,기존공항
Belgaum Airport,삼브르 공항,IXG,VOBM,기존공항
Belgorod International Airport,벨고로드 공항,EGO,UUOB,기존공항
Belgrade Nikola Tesla Airport,벨그라드 국제공항,BEG,LYBE,기존공항
Belize City Philip SW Goldson International Airport,필립 S.W. 골드선 국제공항  ,BZE,MZBZ,기존공항
Bella Coola Airport,벨라쿨라 공항,QBC,CYBD,기존공항
Ballari Airport,벨라리 공항,BEP,VOBI,기존공항
St Louis MidAmerica Airport,미드어메리카 세이트 루인스 공항 / 스콧 공군기지,BLV,KBLV,기존공항
Bellingham International Airport,벨링헴 국제공항,BLI,KBLI,기존공항
Belo Airport,벨로 쉬 치리비히나 공항,BMD,FMML,기존공항
