,code,name,latitude_deg,longitude_deg
450,FIE,Fair Isle Airport,59.534721,-1.628509
451,FAI,Fairbanks International Airport,64.81510162,-147.8560028
452,LYP,Faisalabad International Airport,31.36499977,72.99479675
453,FBD,Fayzabad Airport,37.122148,70.5201
454,FAV,Fakarava Airport,-16.05410004,-145.6569977
455,FGU,Fangatau Airport,-15.81995,-140.88729
456,FAH,Farah Airport,32.366667,62.165347
457,FAR,Hector International Airport,46.92070007,-96.81580353
458,FAB,Farnborough Airport,51.2757988,-0.776332974
459,KIR,Kerry Airport,52.180901,-9.52378
460,FAZ,Fasa Airport,28.8918,53.723301
461,FEN,Fernando de Noronha Airport,-3.854471,-32.423302
462,WFI,Fianarantsoa Airport,-21.441601,47.111698
463,FTI,Fitiuta Airport,-14.215622,-169.424254
464,FIZ,Fitzroy Crossing Airport,-18.183596,125.559783
465,AVL,Asheville Regional Airport,35.436199,-82.541801
466,YFO,Flin Flon Airport,54.67810059,-101.6819992
467,FLS,Flinders Island Airport,-40.09170151,147.9929962
468,FLS,Flinders Island Airport,-33.730989,134.501
469,FLO,Florence Regional Airport,34.1853981,-79.72389984
470,FLW,Flores Airport,39.45529938,-31.13139915
471,FLW,Flores Airport,-3.072917,-60.021937
472,CCA,Chimore Airport,-16.976834,-65.145568
473,YPY,Fort Chipewyan Airport,58.76720047,-111.1169968
474,FNL,Northern Colorado Regional Airport,40.448763,-105.011244
475,FOD,Fort Dodge Regional Airport,42.55149841,-94.19259644
476,YGH,Fort Good Hope Airport,66.24079895,-128.651001
477,FXE,Fort Lauderdale Executive Airport,26.19729996,-80.17070007
478,YFS,Fort Simpson Airport,61.7602005,-121.2369995
479,FSM,Fort Smith Regional Airport,35.336601,-94.367401
480,YSM,Fort Smith Airport,60.020302,-111.961998
481,FWA,Fort Wayne International Airport,40.9785,-85.195099
482,FYU,Fort Yukon Airport,66.57150269,-145.25
483,FUO,Foshan Shadi Airport,23.0833,113.07
484,FRA,Frankfurt Airport,50.036521,8.561268
485,FAT,Fresno Yosemite International Airport,36.776199,-119.718002
486,FRD,Friday Harbor Airport,48.52199936,-123.0240021
487,FDH,Friedrichshafen Airport,47.671299,9.51149
488,FUE,Fuerteventura Airport,28.4527,-13.8638
489,FUK,Fukuoka Airport,33.58589935,130.451004
490,FUN,Funafuti International Airport,-8.525,179.195999
491,FTA,Futuna Airport,-19.51639938,170.2319946
492,FUG,Fuyang Xiguan Airport,32.882157,115.734364
493,FYN,Fuyun Koktokay Airport,46.804169,89.512006
494,FOC,Fuzhou Changle International Airport,25.934669,119.66318
495,GCH,Gachsaran Airport,30.333869,50.833796
496,GNV,Gainesville Regional Airport,29.69009972,-82.27179718
497,GWY,Galway Airport,53.30020142,-8.941590309
498,GWY,Galway Airport,43.00920105,-74.09120178
499,GMB,Gambela Airport,8.12876,34.563099
